switch_step,x_star,N,observed,J,noise,pulse_fraction,lag_steps,seed,pre_m,pre_b,pre_coherence,pre_fragmentation,pre_matched_error,pre_lag_error,pre_wrong_error,transition_m,transition_b,transition_coherence,transition_fragmentation,transition_matched_error,transition_lag_error,transition_wrong_error,post_m,post_b,post_coherence,post_fragmentation,post_matched_error,post_lag_error,post_wrong_error,mismatch_count,mismatch_start,mismatch_end,pre_sector,post_sector,phase,case
1428,1.0,64,16,0.45,0.06,1.0,120,13,0.9911585999102642,0.9913029342881305,1.0,0.0,0.005833330910354471,0.005833330910354471,1.2942025729094186,-0.9280022953224457,-0.9278736411385119,0.9998263888888889,0.00017361111111111112,0.21760612906281807,0.9643576320350777,1.2939385530262313,-1.0066622885975463,-1.006674482121346,1.0,0.0,0.004344724610568696,0.004344724610568696,1.3043262198550751,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,14,0.9911436976356246,0.9910417716554464,1.0,0.0,0.005855728192138555,0.005855728192138555,1.2942790775562185,-0.9279925763239308,-0.9282876144715744,0.9998263888888889,0.00017361111111111112,0.21770889420745249,0.964203022369991,1.2938646726009968,-1.0067110272612276,-1.006686108096828,1.0,0.0,0.004382511824610637,0.004382511824610637,1.3043708894273383,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,15,0.9912058725763282,0.9911222029100301,1.0,0.0,0.00584224479263251,0.00584224479263251,1.2943131015578175,-0.9277274059862587,-0.9280288559951789,0.9998263888888889,0.00017361111111111112,0.2176717227334014,0.9640284174990571,1.2937999273227614,-1.0065903486632746,-1.0064924639320316,1.0,0.0,0.00432261205142438,0.00432261205142438,1.3043179862870633,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,16,0.9912070039681129,0.99135134123962,1.0,0.0,0.005854694144640491,0.005854694144640491,1.2942340345342458,-0.927788023886488,-0.9277305975295365,1.0,0.0,0.217665574922265,0.9641934258622616,1.2938619957004756,-1.0066558740459903,-1.0066166132106422,1.0,0.0,0.004341466655011332,0.004341466655011332,1.3043400594222658,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,17,0.9911636520838093,0.9910369664210895,1.0,0.0,0.005816794825798783,0.005816794825798783,1.2943007138364282,-0.9277713671551159,-0.9281035057165564,1.0,0.0,0.21769213733575252,0.9640462512654324,1.293746972904891,-1.006587793272435,-1.0066941019727185,1.0,0.0,0.004256982774495585,0.004256982774495585,1.3042448575819838,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,18,0.9912025611135546,0.9912277639564988,1.0,0.0,0.005832768737164808,0.005832768737164808,1.2942728437287805,-0.9277125654110291,-0.9277524835491981,0.9998263888888889,0.00017361111111111112,0.21766341763611874,0.9641103072799209,1.2938378161524975,-1.0066303332640418,-1.0066655477623627,1.0,0.0,0.0043007013394322545,0.0043007013394322545,1.3042973915472151,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,19,0.9911787953441752,0.9910404043917541,1.0,0.0,0.005820214347016785,0.005820214347016785,1.2943146538070611,-0.9277584401165062,-0.927881381654661,0.9996527777777777,0.00034722222222222224,0.21768188357310503,0.964111067648486,1.2937940283880556,-1.0066640344453255,-1.0065872104805784,1.0,0.0,0.0043614929160175646,0.0043614929160175646,1.3043585107771232,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,20,0.9911351396273578,0.9912210648240811,1.0,0.0,0.005845828266190703,0.005845828266190703,1.2942077669389291,-0.9277615511818785,-0.9275509385830645,1.0,0.0,0.21760342774544097,0.9642298337889171,1.2938923673777143,-1.0066134087017717,-1.006542790425365,1.0,0.0,0.004325398317853049,0.004325398317853049,1.304323432052894,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,21,0.9911207640838169,0.9912581567570418,1.0,0.0,0.0058526645356603985,0.0058526645356603985,1.294180409218852,-0.9276296647717722,-0.9279287837844129,0.9996527777777777,0.00034722222222222224,0.21765865845576865,0.9639657015583387,1.2937505958371582,-1.0065956783838532,-1.0066345398121612,1.0,0.0,0.004278303847099619,0.004278303847099619,1.304273589449597,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,22,0.9912317657700342,0.9912901572178509,1.0,0.0,0.005839426052572232,0.005839426052572232,1.2942802107437867,-0.9276532173569976,-0.927465452822038,0.9991319444444444,0.0008680555555555555,0.2176862305725196,0.9641514199803954,1.2937833248004647,-1.0066942723424983,-1.0066208264180976,1.0,0.0,0.0043781301352956315,0.0043781301352956315,1.3043769830961645,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,23,0.9912184618101096,0.9911393030262111,1.0,0.0,0.0058680909021013574,0.0058680909021013574,1.2943197057509357,-0.9280145050723253,-0.9280557810803836,0.9998263888888889,0.00017361111111111112,0.21771626547504105,0.9643060928053021,1.2939132330047025,-1.0066007792542482,-1.0066822518361833,1.0,0.0,0.004292545924618532,0.004292545924618532,1.304261991111584,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,24,0.991170776466473,0.9913168099311119,1.0,0.0,0.005831292470963939,0.005831292470963939,1.2942098929905836,-0.9278844187230515,-0.9281016042972056,0.9994791666666667,0.0005208333333333333,0.21762203185198273,0.9641599683301407,1.2938297850372609,-1.006705469375311,-1.006714342218529,1.0,0.0,0.004362211255640295,0.004362211255640295,1.304355449598826,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,25,0.9911576236230837,0.9909986183002977,1.0,0.0,0.0058215476479471714,0.0058215476479471714,1.2943081072179794,-0.9276049932561804,-0.9277476130976364,0.9994791666666667,0.0005208333333333333,0.21777616257731774,0.964004439783119,1.2937840631152535,-1.0067066175663497,-1.0067748598710684,1.0,0.0,0.004337688303835101,0.004337688303835101,1.3043354166114758,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,26,0.9912485366003826,0.9911887554534652,1.0,0.0,0.005839133102874632,0.005839133102874632,1.29433247219167,-0.9279851154332212,-0.9279181505203089,0.9998263888888889,0.00017361111111111112,0.21768532838259658,0.9643248738622241,1.2938856308275732,-1.006597119593111,-1.0065072376576496,1.0,0.0,0.00432819086349784,0.00432819086349784,1.3043195864129333,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
