t,m,b,sector,coherence,fragmentation,matched_decoder,wrong_decoder,lag_decoder,matched_error,wrong_error,lag_error
607.0,1.000167484400329,1.0005208055598034,1.0,1.0,0.0,1.0001822819459312,-0.29981771805406876,1.0001822819459312,1.479754560218538e-05,1.2999852024543976,1.479754560218538e-05
608.0,1.000102965234382,1.0005152415275642,1.0,1.0,0.0,1.0001803345346474,-0.29981966546535255,1.0001803345346474,7.736930026536193e-05,1.2999226306997347,7.736930026536193e-05
609.0,1.0000759439574685,1.0003196311697735,1.0,1.0,0.0,1.0001118709094208,-0.29988812909057927,1.0001118709094208,3.592695195231421e-05,1.2999640730480477,3.592695195231421e-05
610.0,1.0000038011016785,1.0000348680892448,1.0,1.0,0.0,1.0000122038312358,-0.29998779616876436,1.0000122038312358,8.402729557266397e-06,1.2999915972704428,8.402729557266397e-06
611.0,0.9999040733824858,0.9998590867759727,1.0,1.0,0.0,0.9999506803715904,-0.30004931962840964,0.9999506803715904,4.660698910463612e-05,1.2999533930108953,4.660698910463612e-05
612.0,0.9999863558946038,0.9998279777647144,1.0,1.0,0.0,0.9999397922176501,-0.30006020778235,0.9999397922176501,4.656367695377028e-05,1.3000465636769538,4.656367695377028e-05
613.0,0.9997780497981407,0.999745028276527,1.0,1.0,0.0,0.9999107598967845,-0.3000892401032156,0.9999107598967845,0.00013271009864379568,1.2998672899013561,0.00013271009864379568
614.0,0.9997970590956202,0.9996412854805836,1.0,1.0,0.0,0.9998744499182043,-0.30012555008179576,0.9998744499182043,7.739082258406693e-05,1.299922609177416,7.739082258406693e-05
615.0,0.9998118206452564,0.9996885385825951,1.0,1.0,0.0,0.9998909885039083,-0.3001090114960917,0.9998909885039083,7.916785865191844e-05,1.299920832141348,7.916785865191844e-05
616.0,0.9998356704546323,0.9997791061255716,1.0,1.0,0.0,0.99992268714395,-0.30007731285605,0.99992268714395,8.701668931776485e-05,1.2999129833106822,8.701668931776485e-05
617.0,0.9999463011755929,0.9998343156715509,1.0,1.0,0.0,0.9999420104850428,-0.3000579895149572,0.9999420104850428,4.290690550079468e-06,1.3000042906905502,4.290690550079468e-06
618.0,1.0001539617038193,1.000197335722846,1.0,1.0,0.0,1.0000690675029962,-0.299930932497004,1.0000690675029962,8.489420082313792e-05,1.3000848942008232,8.489420082313792e-05
619.0,1.0000747379872346,1.00033403979986,1.0,1.0,0.0,1.000116913929951,-0.2998830860700491,1.000116913929951,4.217594271649361e-05,1.2999578240572838,4.217594271649361e-05
